id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
13485,6OK6,small_airport,Earl Henry Airport,36.79589844,-97.31700134,1054,NA,US,US-OK,Blackwell,no,6OK6,BWL,6OK6,,https://en.wikipedia.org/wiki/Earl_Henry_Airport,
13974,78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,,NA,US,US-AK,Yes Bay,no,78K,WYB,78K,,,
13997,78WA,small_airport,Center Island Airport,48.49010086,-122.8320007,115,NA,US,US-WA,Center Island,no,78WA,CWS,78WA,,https://en.wikipedia.org/wiki/Center_Island_Airport,
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,NA,US,US-AK,Tatitlek,yes,PAKA,TEK,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,
14270,7NC2,small_airport,Pine Island Airport,36.25350189,-75.78849792,16,NA,US,US-NC,Corolla,no,7NC2,DUF,7NC2,,https://en.wikipedia.org/wiki/Pine_Island_Airport,
14453,7WA5,small_airport,Stuart Island Airpark,48.67290115,-123.1760025,10,NA,US,US-WA,Stuart Island,no,7WA5,SSW,7WA5,,,
14559,82CL,small_airport,Fort Bragg Airport,39.47430038,-123.7959976,71,NA,US,US-CA,Fort Bragg,no,82CL,FOB,82CL,,,
14620,83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,0,NA,US,US-WA,Poulsbo,no,83Q,PUL,83Q,http://www.portofpoulsbo.com/seaplane-base/,,
14633,84CL,heliport,Century City Heliport,34.06079865,-118.4179993,473,NA,US,US-CA,Los Angeles,no,84CL,CCD,84CL,,,
14642,84K,seaplane_base,Meyers Chuck Seaplane Base,55.73960114,-132.2550049,0,NA,US,US-AK,Meyers Chuck,no,84K,WMK,84K,,,
19113,89NY,small_airport,Maxson Airfield,44.312002,-75.90034,340,NA,US,US-NY,Alexandria Bay,no,89NY,AXB,89NY,http://www.maxsonairfield.com/,https://en.wikipedia.org/wiki/Maxson_Airfield,
15267,8XS8,small_airport,Reese Airpark,33.59030151,-102.0370026,3338,NA,US,US-TX,Lubbock,no,8XS8,REE,8XS8,http://reesetechnologycenter.com/index.php/facilities/airfield-pad-site-development,https://en.wikipedia.org/wiki/Reese_Air_Force_Base,
15300,90WA,small_airport,Waldron Airstrip,48.7118,-123.017998,140,NA,US,US-WA,East Sound,no,90WA,WDN,90WA,,,Waldronaire
15514,96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,0,NA,US,US-AK,Whale Pass,no,,WWP,96Z,,,"North Whale SPB, North Whale Pass"
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,NA,US,US-AK,Chuathbaluk,yes,PACH,CHU,9A3,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,
15641,9A8,small_airport,Ugashik Airport,57.5279007,-157.3990021,25,NA,US,US-AK,Ugashik,no,9A8,UGS,9A8,,https://en.wikipedia.org/wiki/Ugashik_Airport,
15656,9B1,small_airport,Marlboro Airport,42.343201,-71.509002,285,NA,US,US-MA,Marlboro,no,,MXG,9B1,,https://en.wikipedia.org/wiki/Marlboro_Airport,
15836,9N2,seaplane_base,Philadelphia Seaplane Base,39.85900116,-75.29959869,0,NA,US,US-PA,Essington,no,9N2,PSQ,9N2,http://www.phillyseaplanebase.com/,https://en.wikipedia.org/wiki/Philadelphia_Seaplane_Base,Chandler Field
16069,9Z8,small_airport,Levelock Airport,59.12810135,-156.8589935,39,NA,US,US-AK,Levelock,no,9Z8,KLL,9Z8,,https://en.wikipedia.org/wiki/Levelock_Airport,
16074,A23,seaplane_base,Saginaw Seaplane Base,56.88629913,-134.1580048,0,NA,US,US-AK,Saginaw Bay,no,A23,SGW,A23,,https://en.wikipedia.org/wiki/Saginaw_Seaplane_Base,
16082,A61,small_airport,Tuntutuliak Airport,60.33530045,-162.6670074,16,NA,US,US-AK,Tuntutuliak,no,A61,WTL,A61,,https://en.wikipedia.org/wiki/Tuntutuliak_Airport,
16083,A63,small_airport,Twin Hills Airport,59.07559967,-160.272995,82,NA,US,US-AK,Twin Hills,no,A63,TWA,A63,,https://en.wikipedia.org/wiki/Twin_Hills_Airport,AK63
16089,A79,small_airport,Chignik Lake Airport,56.25500107,-158.7749939,50,NA,US,US-AK,Chignik Lake,yes,A79,KCQ,A79,,https://en.wikipedia.org/wiki/Chignik_Lake_Airport,
299321,AHT,closed,Amchitka Army Airfield,51.37777778,179.2591667,215,NA,US,US-AK,Amchitka Island,no,PAHT,AHT,,,https://en.wikipedia.org/wiki/Amchitka_Army_Airfield,Constantine Harbor
16108,AK13,small_airport,Chena Hot Springs Airport,65.05180359,-146.0469971,1195,NA,US,US-AK,Chena Hot Springs,no,AK13,CEX,AK13,,,
16120,AK26,small_airport,Solomon State Field,64.5605,-164.4457,25,NA,US,US-AK,Solomon,no,AK26,SOL,AK26,,,
16125,AK33,small_airport,Herendeen Bay Airport,55.80139923,-160.8990021,20,NA,US,US-AK,Herendeen Bay,no,AK33,HED,AK33,,,
16141,AK49,small_airport,Taylor Airport,65.6792984,-164.798996,440,NA,US,US-AK,Taylor,no,AK49,TWE,AK49,,,
16149,AK56,seaplane_base,Tikchik Lodge Seaplane Base,59.96319962,-158.477005,304,NA,US,US-AK,Tikchik,no,AK56,KTH,AK56,,,
16155,AK62,seaplane_base,Naukati Bay Seaplane Base,55.849602,-133.227994,0,NA,US,US-AK,Tuxekan Island,no,AK62,NKI,AK62,,https://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base,"62A, Nichin Cove Seaplane Base, WNC"
16165,AK71,small_airport,Lonely Air Station,70.91069794,-153.2420044,17,NA,US,US-AK,Lonely,no,PALN,LNI,AK71,,https://en.wikipedia.org/wiki/Lonely_Air_Station,
16169,AK75,small_airport,Candle 2 Airport,65.90769959,-161.9259949,15,NA,US,US-AK,Candle,no,AK75,CDL,AK75,,,
16174,AK81,seaplane_base,Amook Bay Seaplane Base,57.4715004,-153.8150024,,NA,US,US-AK,Amook Bay,yes,AK81,AOS,AK81,,https://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base,
16187,AK96,small_airport,Bartletts Airport,58.21620178,-157.352005,50,NA,US,US-AK,Egegik,no,AK96,BSZ,AK96,,,
16188,AK97,small_airport,Boswell Bay Airport,60.42309952,-146.1459961,230,NA,US,US-AK,Boswell Bay,no,AK97,BSW,AK97,,https://en.wikipedia.org/wiki/Boswell_Bay_Airport,
16262,AL73,small_airport,Sharpe Field,32.4919014,-85.77559662,253,NA,US,US-AL,Tuskegee,no,AL73,TGE,AL73,,https://en.wikipedia.org/wiki/Sharpe_Field,
16289,ALZ,seaplane_base,Alitak Seaplane Base,56.8995018,-154.2480011,,NA,US,US-AK,Lazy Bay,no,,ALZ,ALZ,,https://en.wikipedia.org/wiki/Alitak_Seaplane_Base,
16294,AQY,small_airport,Girdwood Airport,60.966099,-149.126007,150,NA,US,US-AK,Girdwood,no,,AQY,AQY,,https://en.wikipedia.org/wiki/Girdwood_Airport,
301832,ARX,closed,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,95,NA,US,US-NJ,Asbury Park,no,,ARX,,,,Schlossbach Field
301768,AYZ,closed,Zahn's Airport,40.71,-73.4,,NA,US,US-NY,Amityville,no,,AYZ,,,,
16403,AZ15,heliport,Lava Falls Heliport,36.1916008,-113.0920029,1720,NA,US,US-AZ,Supai Village,no,AZ15,HAE,AZ15,,,Havasupai Airport
45961,BBG,small_airport,Branson Airport,36.532082,-93.200544,1302,NA,US,US-MO,Branson,yes,KBBG,BKG,BBG,http://flybranson.com/,https://en.wikipedia.org/wiki/Branson_Airport,
301857,BCJ,closed,Baca Grande Airfield,37.96477778,-105.7766667,7620,NA,US,US-CO,Crestone,no,,BCJ,,,,
16495,BDH,small_airport,Willmar Municipal -John L Rice Field,45.11769867,-95.13040161,1126,NA,US,US-MN,Willmar,no,KBDH,ILL,BDH,http://www.willmarmn.gov/residents/travel-transportation/airport,https://en.wikipedia.org/wiki/Willmar_Municipal_Airport,
16502,BNF,seaplane_base,Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146,0,NA,US,US-AK,Baranof,no,,BNF,BNF,,,"Warm Spring Bay Seaplane Base  Baranof Warm Springs, Baranoff"
16503,BOF,heliport,Bolling Air Force Base,38.84289932,-77.01609802,20,NA,US,US-DC,Washington,no,KBOF,BOF,BOF,,https://en.wikipedia.org/wiki/Joint_Base_Anacostia-Bolling,
16504,BOK,small_airport,Brookings Airport,42.0746,-124.290001,459,NA,US,US-OR,Brookings,no,KBOK,BOK,BOK,,https://en.wikipedia.org/wiki/Brookings_Airport,
16505,BQV,seaplane_base,Bartlett Cove Seaplane Base,58.4552002,-135.8849945,0,NA,US,US-AK,Gustavus,no,BQV,BQV,BQV,,,
312520,BRG,closed,Whitesburg Municipal Airport,37.2219,-82.8742,1985,NA,US,US-KY,Whitesburg,no,,BRG,,,,"Isom Airport, Letcher County"
16506,BYA,small_airport,Boundary Airport,64.07830048,-141.1130066,2940,NA,US,US-AK,Boundary,no,BYA,BYA,BYA,,,
315551,BZS,closed,Buzzards Point Seaplane Base,38.863,-77.011,0,NA,US,US-DC,Washington,no,,BZS,,,,
16712,CGA,seaplane_base,Craig Seaplane Base,55.47880173,-133.147995,,NA,US,US-AK,Craig,no,CGA,CGA,CGA,,https://en.wikipedia.org/wiki/Craig_Seaplane_Base,
16713,CHP,small_airport,Circle Hot Springs Airport,65.48549652,-144.6109924,956,NA,US,US-AK,Circle Hot Springs,no,CHP,CHP,CHP,,https://en.wikipedia.org/wiki/Circle_Hot_Springs_Airport,
312506,CIV,seaplane_base,Chomley Seaplane Base,55.217,-132.21,0,NA,US,US-AK,Chomley,no,,CIV,,,,
16716,CJX,small_airport,Crooked Creek Airport,61.86790085,-158.1349945,178,NA,US,US-AK,Crooked Creek,no,CJX,CKD,CJX,,https://en.wikipedia.org/wiki/Crooked_Creek_Airport,
312535,CKR,small_airport,Crane Island Airstrip,48.5978,-122.9979,108,NA,US,US-WA,Crane Island,no,,CKR,,,,
16717,CKU,small_airport,Cordova Municipal Airport,60.54389954,-145.727005,12,NA,US,US-AK,Cordova,no,CKU,CKU,CKU,,https://en.wikipedia.org/wiki/Cordova_Municipal_Airport,
16718,CKX,small_airport,Chicken Airport,64.07129669,-141.9519959,1640,NA,US,US-AK,Chicken,no,CKX,CKX,CKX,,,
312536,CLC,closed,Clear Lake Metroport,29.5555,-95.1383,25,NA,US,US-TX,Clear Lake,no,,CLC,,,,
46092,CLG,closed,Coalinga Airport,36.15804334,-120.360117,,NA,US,US-CA,,no,,CLG,,,,
17042,CT88,heliport,Rentschler Heliport,41.7517,-72.6253,30,NA,US,US-CT,East Hartford,no,CT88,EHT,CT88,,https://en.wikipedia.org/wiki/Rentschler_Heliport,
17054,CVH,small_airport,Hollister Municipal Airport,36.8932991,-121.4100037,230,NA,US,US-CA,Hollister,no,KCVH,HLI,CVH,http://www.hollister.ca.gov/site/html/gov/office/airport.asp,https://en.wikipedia.org/wiki/Hollister_Municipal_Airport,3O7
311044,CVR,closed,Hughes Airport,33.975,-118.417,17,NA,US,US-CA,Culver City,no,,CVR,,,https://en.wikipedia.org/wiki/Hughes_Airport_(California),
17055,CXC,small_airport,Chitina Airport,61.582901,-144.427002,556,NA,US,US-AK,Chitina,no,CXC,CXC,CXC,,,
17057,CYM,seaplane_base,Chatham Seaplane Base,57.5149,-134.945999,0,NA,US,US-AK,Chatham,no,05AA,CYM,05AA,,https://en.wikipedia.org/wiki/Chatham_Seaplane_Base,CYM
17059,CZK,small_airport,Cascade Locks State Airport,45.67689896,-121.8789978,151,NA,US,US-OR,Cascade Locks,no,KCZK,CZK,CZK,http://www.oregon.gov/Aviation/pages/warning.aspx#Cascade_Locks,https://en.wikipedia.org/wiki/Cascade_Locks_State_Airport,
17060,CZN,small_airport,Chisana Airport,62.07120132,-142.0480042,3318,NA,US,US-AK,Chisana,yes,CZN,CZN,CZN,,https://en.wikipedia.org/wiki/Chisana_Airport,Chisana Field
17061,CZO,small_airport,Chistochina Airport,62.56349945,-144.6690063,1850,NA,US,US-AK,Chistochina,no,CZO,CZO,CZO,,,
19598,D38,small_airport,Canandaigua Airport,42.908902,-77.325226,814,NA,US,US-NY,Ontario County IDA,no,KIUA,IUA,IUA,https://flycanandaigua.com/,https://en.wikipedia.org/wiki/Canandaigua_Airport,Canandaigua Airport
17080,D66,small_airport,Delta Junction Airport,64.05039978,-145.7169952,1150,NA,US,US-AK,Delta Junction,no,D66,DJN,D66,,https://en.wikipedia.org/wiki/Delta_Junction_Airport,
17113,DCK,small_airport,Dahl Creek Airport,66.94329834,-156.9049988,260,NA,US,US-AK,Dahl Creek,no,DCK,DCK,DCK,,,
46085,DCR,closed,Decatur HI-Way Airfield,40.837548,-84.862464,842,NA,US,US-IN,Decatur,no,,DCR,DCR,,https://en.wikipedia.org/wiki/Decatur_Hi-Way_Airport,
300321,DHB,seaplane_base,Deer Harbor SPB,48.61666667,-123.0027778,,NA,US,US-WA,Deer Harbor,no,,DHB,,,,
302542,DPK,closed,Deer Park Airport,40.76,-73.31,75,NA,US,US-NY,Deer Park,no,,DPK,,,,
302473,DWS,closed,Lake Buena Vista STOLport,28.39944444,-81.57127778,94,NA,US,US-FL,Walt Disney World,no,,DWS,,,https://en.wikipedia.org/wiki/Walt_Disney_World_Airport,Walt Disney World Airport
317873,EDA,seaplane_base,Edna Bay Seaplane Base,55.949653,-133.661012,0,NA,US,US-AK,Edna Bay,no,,EDA,,,,
312879,ESP,closed,Birchwood-Pocono Airport,41.0643,-75.2521,965,NA,US,US-PA,East Stroudsburg,no,,ESP,,,,
17184,EXI,seaplane_base,Excursion Inlet Seaplane Base,58.420502,-135.449005,0,NA,US,US-AK,Excursion Inlet,yes,,EXI,EXI,,https://en.wikipedia.org/wiki/Excursion_Inlet_Seaplane_Base,
17188,F23,small_airport,Ranger Municipal Airport,32.45259857,-98.68280029,1470,NA,US,US-TX,Ranger,no,F23,RGR,F23,,,
312922,FAL,closed,Falcon State Airport,26.5856,-99.13985,358,NA,US,US-TX,Roma,no,,FAL,,,,
312913,FLE,closed,Fort Lee Army Airfield,37.284,-77.3448,96,NA,US,US-VA,Fort Lee,no,,FLE,,,,
17467,FLT,small_airport,Flat Airport,62.45259857,-157.9889984,309,NA,US,US-AK,Flat,no,FLT,FLT,FLT,,,
312904,FSN,closed,Haley Army Airfield,42.221,-87.817,685,NA,US,US-IL,Fort Sheridan,no,,FSN,,,,
17573,GAB,small_airport,Gabbs Airport,38.92409897,-117.9589996,4700,NA,US,US-NV,Gabbs,no,KGAB,GAB,GAB,,https://en.wikipedia.org/wiki/Gabbs_Airport,
17594,GFD,small_airport,Pope Field,39.79029846,-85.73609924,895,NA,US,US-IN,Greenfield,no,KGFD,GFD,GFD,,https://en.wikipedia.org/wiki/Pope_Field_(Indiana),
17597,GNU,small_airport,Goodnews Airport,59.11740112,-161.5769959,15,NA,US,US-AK,Goodnews,no,GNU,GNU,GNU,,https://en.wikipedia.org/wiki/Goodnews_Airport,
17599,GSZ,small_airport,Granite Mountain Air Station,65.40209961,-161.2810059,1313,NA,US,US-AK,Granite Mountain,no,PAGZ,GMT,GSZ,,https://en.wikipedia.org/wiki/Granite_Mountain_Air_Station,
17600,GVE,small_airport,Gordonsville Municipal Airport,38.15599823,-78.165802,454,NA,US,US-VA,Gordonsville,no,KGVE,GVE,GVE,http://www.townofgordonsville.org/index.aspx?nid=125,,
17618,HAY,small_airport,Haycock Airport,65.2009964,-161.1569977,175,NA,US,US-AK,Haycock,no,HAY,HAY,HAY,,https://en.wikipedia.org/wiki/Haycock_Airport,
17620,HEY,heliport,Hanchey Army (Fort Rucker) Heliport,31.34600067,-85.65429688,317,NA,US,US-AL,Fort Rucker Ozark,no,KHEY,HEY,HEY,,https://en.wikipedia.org/wiki/Hanchey_Army_Heliport,
17622,HGT,heliport,Tusi AHP (Hunter Liggett) Heliport,35.99349976,-121.2369995,1017,NA,US,US-CA,Fort Hunter Ligget Jolon,no,KHGT,HGT,HGT,,,
17623,HI01,small_airport,Princeville Airport,22.20919991,-159.4459991,344,NA,US,US-HI,Hanalei,no,HI01,HPV,HI01,,https://en.wikipedia.org/wiki/Princeville_Airport,
17628,HI07,heliport,Waikoloa Heliport,19.9205,-155.8607,119,NA,US,US-HI,Waikoloa Village,no,HI07,WKL,HI07,,,
313211,HKB,small_airport,Healy Lake Airport,63.9958,-144.6926,1180,NA,US,US-AK,Healy Lake,yes,,HKB,,,https://en.wikipedia.org/wiki/Healy_Lake_Airport,
17659,HYL,seaplane_base,Hollis Clark Bay Seaplane Base,55.48160172,-132.6459961,0,NA,US,US-AK,Hollis,yes,HYL,HYL,HYL,,https://en.wikipedia.org/wiki/Hollis_Seaplane_Base,
313268,IVH,closed,Ivishak Airport,69.4066,-148.2881,677,NA,US,US-AK,Ivishak River,no,,IVH,,,,
18253,JLA,small_airport,Quartz Creek Airport,60.48270035,-149.7189941,450,NA,US,US-AK,Cooper Landing,no,JLA,JLA,JLA,,,
313333,JPB,closed,Pan Am Building Heliport,40.7533,-73.9765,870,NA,US,US-NY,New York,no,,JPB,,,,
18255,JPN,heliport,Pentagon Army Heliport,38.87409973,-77.05750275,40,NA,US,US-DC,Washington,no,KJPN,JPN,JPN,,,
18256,JRA,heliport,West 30th St. Heliport,40.754501,-74.007103,7,NA,US,US-NY,New York,yes,KJRA,JRA,JRA,,https://en.wikipedia.org/wiki/West_30th_Street_Heliport,
18257,JRB,heliport,Downtown-Manhattan/Wall St Heliport,40.70119858,-74.00900269,7,NA,US,US-NY,New York,no,KJRB,JRB,JRB,http://www.downtownmanhattanheliport.com/,https://en.wikipedia.org/wiki/Downtown_Manhattan_Heliport,
18302,K00C,small_airport,Animas Air Park,37.20320129,-107.8690033,6684,NA,US,US-CO,Durango,no,,AMK,00C,http://www.websmart66.net/cgi-bin/p/w66p-airportinfo.cgi?d=greggs-flying-service,https://en.wikipedia.org/wiki/Animas_Air_Park,
18303,K00F,small_airport,Broadus Airport,45.47249985,-105.4540024,3280,NA,US,US-MT,Broadus,no,00F,BDX,00F,,https://en.wikipedia.org/wiki/Broadus_Airport,
18321,K05U,small_airport,Eureka Airport,39.60419846,-116.0049973,5954,NA,US,US-NV,Eureka,no,05U,EUE,05U,,https://en.wikipedia.org/wiki/Eureka_Airport_(Nevada),Booth Bailey Field
18326,K06U,small_airport,Jackpot Airport/Hayden Field,41.97600174,-114.6579971,5213,NA,US,US-NV,Jackpot,no,06U,KPT,06U,,https://en.wikipedia.org/wiki/Jackpot_Airport,
20238,K07,small_airport,Rolla Downtown Airport,37.93569946,-91.81349945,987,NA,US,US-MO,Rolla,no,K07,RLA,K07,,,
18351,K0B8,small_airport,Elizabeth Field,41.25130081,-72.03160095,9,NA,US,US-NY,Fishers Island,no,0B8,FID,0B8,https://www.dot.ny.gov/divisions/operating/opdm/aviation/repository/air_dir2/Elizabeth-revised.pdf,https://en.wikipedia.org/wiki/Elizabeth_Field,
18371,K0K7,small_airport,Humboldt Municipal Airport,42.73609924,-94.24520111,1093,NA,US,US-IA,Humboldt,no,0K7,HUD,0K7,http://www.iowadot.gov/aviation/airports/AirportIntermediate.aspx?FAACode=0K7,https://en.wikipedia.org/wiki/Humboldt_Municipal_Airport_(Iowa),
18393,K0S9,small_airport,Jefferson County International Airport,48.05379868,-122.810997,108,NA,US,US-WA,Port Townsend,no,K0S9,TWD,0S9,http://www.portofpt.com/airport.htm,https://en.wikipedia.org/wiki/Jefferson_County_International_Airport,
